"code","iso","country","UWX.raw.1990","UWX.raw.1991","UWX.raw.1992","UWX.raw.1993","UWX.raw.1994","UWX.raw.1995","UWX.raw.1996","UWX.raw.1997","UWX.raw.1998","UWX.raw.1999","UWX.raw.2000","UWX.raw.2001","UWX.raw.2002","UWX.raw.2003","UWX.raw.2004","UWX.raw.2005","UWX.raw.2006","UWX.raw.2007","UWX.raw.2008","UWX.raw.2009","UWX.raw.2010","UWX.raw.2011","UWX.raw.2012","UWX.raw.2013","UWX.raw.2014","UWX.raw.2015","UWX.raw.2016","UWX.raw.2017","UWX.raw.2018","UWX.raw.2019","UWX.raw.2020","UWX.raw.2021"
466,"MLI","Mali",9.50729840520727,9.48252523773259,9.45841311369458,9.43307865267785,9.40675345167169,9.37907320782953,9.35495877420814,9.32655612296455,9.29669111157619,9.2669211475503,9.23888509020486,9.20720773323484,9.17703015401866,9.14561582809622,9.11589298844825,9.08473251512217,9.05028254761765,9.01810448673544,8.9766768174096,8.92823673160384,8.87763360164438,8.82172867805796,8.76263505257502,8.70826474427125,8.65133645157969,8.59888495234513,8.56333419264433,8.51266984584415,8.45661994669853,8.40445740978852,8.35404637690147,8.30491776338881
470,"MLT","Malta",1.21663253581746,1.21371302986475,1.20200247586777,1.18781037855843,1.17326462476196,1.16298871963404,1.15686226830497,1.14675539473992,1.13500378298338,1.12544583171678,1.11594326114634,1.10804794356745,1.10546199148885,1.10329072237781,1.10036571393588,1.09754765714816,1.0951858985205,1.09247959732063,1.08942965789652,1.08646925504066,1.08377810737657,1.08091333077328,1.07916767069973,1.07814669333541,1.07704758274342,1.07549114034485,1.07419591463257,1.07265547140171,1.07109683663546,1.06958187257686,1.06841519156567,1.06730057712206
584,"MHL","Marshall Islands",6.9994347588027,6.94258963726928,6.88420470771174,6.82604135107704,6.76764320576483,6.70481448213282,6.65958436978362,6.57766928227301,6.56268388576789,6.55054126766561,6.53543333133956,6.51431359695758,6.49149025639207,6.4699234445889,6.44976272377148,6.41873548023379,6.39241177413988,6.35891204458398,6.27173574615332,6.30594004797731,6.33588035555845,6.36110220080315,6.40722721877871,6.45041842494918,6.49443489144016,6.53687307849577,6.57441579976194,6.5005479293446,6.42034384830658,6.38924118433945,6.36123885475145,6.33345266015395
478,"MRT","Mauritania",8.39249250794732,8.34310197831796,8.29258905148168,8.24172524187453,8.19362006467578,8.14765703811648,8.10052425925897,8.05963635295628,8.02251817135496,7.98593065619541,7.95495729969161,7.92740568219691,7.89910939226545,7.86604315071894,7.84133171073918,7.8086650885098,7.75524757751666,7.7006725389774,7.63158689782197,7.56194294779625,7.48087508858006,7.39113315189393,7.31847521012274,7.24871511693067,7.16494363570672,7.06201878525789,7.00094919282275,6.93154765597346,6.85721766244374,6.77288677000176,6.69783824022988,6.62282592646155
480,"MUS","Mauritius",1.91355986746116,1.87611545618816,1.84687524429785,1.79934601818868,1.73380443232985,1.67945516362697,1.63770812735499,1.59625346831539,1.54715874835917,1.50645200403712,1.4677342956012,1.44844019913271,1.42920179603571,1.40745785744192,1.4178765224556,1.42548756430661,1.43136933304917,1.43587800902452,1.4351654062164,1.43183112492286,1.42461512176607,1.41941064402219,1.43285802063679,1.44004266637094,1.44468171374813,1.45367584925799,1.46056550805712,1.46349462928982,1.45849779471408,1.45360713192489,1.45073346458372,1.44812614007765
484,"MEX","Mexico",2.9289164725411,2.87717353722974,2.82992832629504,2.78194489345199,2.73717755567356,2.70053001947493,2.67958919503017,2.65769421203572,2.63617977371954,2.6296501143165,2.61903792501454,2.60916639467294,2.60023443536914,2.58097549872254,2.56190077262843,2.54330259511403,2.52749765974457,2.51124660489986,2.51270641257093,2.52492433472906,2.53683488983994,2.54352562379162,2.54607906743272,2.51659982832979,2.48363877243118,2.44725575973919,2.40927813278183,2.37061030604186,2.33078444058298,2.29899803657124,2.26974684834106,2.24109890104933
583,"FSM","Micronesia",6.74746955015912,6.69428061016258,6.64191733725915,6.58595132268646,6.53538172278295,6.47787087703747,6.42923585446386,6.33965650360448,6.31485872032756,6.28774929740269,6.25262757319331,6.21566676130898,6.17916419046281,6.1391895185622,6.10447993640753,6.05796377502858,6.01127569273184,5.9703469228128,5.87021118336374,5.90628721783924,5.94865494662717,5.99620392339017,6.0540631693444,6.11957431764248,6.18860855649772,6.25075140690987,6.30666731750852,6.25297663043076,6.19441880444937,6.16891327602488,6.14546467687794,6.12146410003025
498,"MDA","Moldova",5.43332667190841,5.38185729746348,5.35318903681239,5.308986918232,5.27447705167152,5.23829546306868,5.21452050899815,5.20042541995759,5.20413035476529,5.22172388753016,5.23506427173245,5.23145040911957,5.20326115779424,5.16114014036941,5.11599973776755,5.05922083215574,4.97515324930956,4.89220094156083,4.80862569179672,4.73899403113967,4.65786543625694,4.56840101515175,4.49482519169847,4.4177699643687,4.34590705134944,4.28495831393585,4.21901585813194,4.16216124685335,4.10877458803142,4.05966618040324,4.03066302158453,4.0059984976242
492,"MCO","Monaco",1.07748111799757,1.07663023399585,1.07337409455425,1.07009997909422,1.06683417062844,1.0636702241477,1.06070791894583,1.05791483900557,1.05529275222589,1.0529101086076,1.05070948783905,1.04867534908756,1.04801080448548,1.04743946469243,1.04686063490985,1.04626654607069,1.04564342580631,1.04493880458291,1.04416794594758,1.04334141088695,1.04254417504008,1.04167996518947,1.04145779317302,1.04129966105717,1.04118403666923,1.04103216188874,1.04089737282376,1.04075304062215,1.04061777603578,1.04044028803512,1.0402345078097,1.04004709796836
496,"MNG","Mongolia",6.17424325734285,6.16229659385704,6.15283113389352,6.14709067220369,6.13567265853978,6.11149751831705,6.09076445144103,6.06869485977598,6.04749731076355,6.02334866169678,5.99445019823392,5.97217359004975,5.95187686479031,5.93719005672543,5.9223059288426,5.90729522683362,5.9003357561902,5.91050799100771,5.93379764736033,5.95929994837649,5.98372154832312,5.98059681036383,5.97806096981872,5.9025801558741,5.86294453856649,5.8219178792014,5.77256704003575,5.67483531434521,5.6352390776379,5.61236222975332,5.59653762711879,5.583183566346
