"iso","country","code","Series.Name","Series.Code","X1996..YR1996.","X1998..YR1998.","X2000..YR2000.","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","X2015..YR2015.","X2016..YR2016.","X2017..YR2017.","X2018..YR2018.","X2019..YR2019.","X2020..YR2020.","X2021..YR2021."
"MYS","Malaysia",458,"Government Effectiveness: Estimate","GE.EST","0.53628271818161","0.754812836647034","0.99294239282608","0.92150604724884","1.05948483943939","1.06577146053314","1.05909729003906","1.25425398349762","1.24243533611298","1.06870377063751","0.908778548240662","1.06234002113342","1.00221765041351","0.919373273849487","1.00716626644135","1.16081976890564","0.958086252212524","0.864153683185577","0.824154436588287","1.10146045684814","1.00913941860199","1.05908203125","0.991686642169952"
"MDV","Maldives",462,"Government Effectiveness: Estimate","GE.EST","0.901294231414795","0.902549386024475","0.872710645198822","0.834610283374786","0.576517760753632","0.373675912618637","0.239690825343132","0.170396283268929","0.123715601861477","-0.215118065476418","-0.436898767948151","-0.191439881920815","-0.293658286333084","-0.18681862950325","-0.304104119539261","-0.339784145355225","-0.349228292703629","-0.273779392242432","-0.425809234380722","-0.452918171882629","-0.14983107149601","-0.00686872284859419","0.386397957801819"
"MLI","Mali",466,"Government Effectiveness: Estimate","GE.EST","-0.998445451259613","-1.17352044582367","-1.05684018135071","-0.698373138904572","-0.738430738449097","-0.803888857364655","-0.725959479808807","-0.765874922275543","-0.766218364238739","-0.791931688785553","-0.802453339099884","-0.853063941001892","-0.802109777927399","-0.983904898166656","-0.899171769618988","-1.08842015266418","-0.929319560527802","-0.996003746986389","-0.938733220100403","-1.00032019615173","-1.06899988651276","-1.16586327552795","-1.2231879234314"
"MLT","Malta",470,"Government Effectiveness: Estimate","GE.EST","0.927289664745331","0.892576634883881","1.05050778388977","1.05014824867249","0.878830909729004","0.778789401054382","0.816960215568542","1.01830148696899","1.19949078559875","1.27071070671082","1.1697438955307","1.18726325035095","1.18943464756012","1.24053657054901","1.25185108184814","1.024050116539","0.847427666187286","0.951220750808716","1.00032913684845","0.962389171123505","0.852863729000092","1.03146994113922","0.89264053106308"
"MHL","Marshall Islands",584,"Government Effectiveness: Estimate","GE.EST","..","..","..","..","..","..","-0.682044744491577","-1.00476586818695","-1.23788666725159","-1.28043878078461","-1.34872007369995","-1.1412570476532","-1.58591794967651","-1.51827752590179","-1.6971275806427","-1.78642618656158","-1.81800127029419","-1.77563059329987","-1.69356310367584","-1.58915460109711","-1.54488921165466","-1.40530467033386","-1.48823928833008"
"-8888","Martinique",-8888,"Government Effectiveness: Estimate","GE.EST","0.901294231414795","0.902549386024475","0.872710645198822","0.834610283374786","0.833830893039703","0.836270868778229","0.755863070487976","0.762344479560852","0.735916256904602","0.755571186542511","0.757333755493164","0.743758201599121","0.735537827014923","0.741472184658051","0.748280763626099","0.693407595157623","0.74456262588501","0.793133914470673","1.10700118541718","1.10208261013031","1.08302557468414","0.971156001091003","0.976894974708557"
"MRT","Mauritania",478,"Government Effectiveness: Estimate","GE.EST","-0.124192699790001","-0.0990643203258514","-0.14284160733223","-0.231615513563156","-0.195421740412712","-0.591448247432709","-0.324555993080139","-0.909149765968323","-0.921015083789825","-1.00130641460419","-0.92585951089859","-0.986153364181519","-0.962067186832428","-0.913015425205231","-0.992993474006653","-0.991463780403137","-1.02556824684143","-0.808020651340485","-0.763634920120239","-0.785691499710083","-0.575070917606354","-0.807231068611145","-0.733716249465942"
"MUS","Mauritius",480,"Government Effectiveness: Estimate","GE.EST","0.202324584126472","0.323917388916016","0.430507242679596","0.371119827032089","0.743758678436279","0.69427365064621","0.617880165576935","0.703913331031799","0.75517749786377","0.831424832344055","0.802594244480133","0.910086333751678","0.886751353740692","1.0467004776001","0.920593023300171","1.15563225746155","1.16092014312744","1.0571494102478","0.998664975166321","0.932905673980713","0.892037570476532","0.884526431560516","0.849402546882629"
"MEX","Mexico",484,"Government Effectiveness: Estimate","GE.EST","0.225326701998711","0.38436958193779","0.276181936264038","0.218386545777321","0.135325372219086","0.0786195173859596","0.0331377945840359","0.0517772845923901","0.138943001627922","0.163555026054382","0.14482419192791","0.0992598310112953","0.257281601428986","0.300963640213013","0.30745142698288","0.13829705119133","0.151816561818123","0.0639017894864082","-0.0319954790174961","-0.263602465391159","-0.279377490282059","-0.242663219571114","-0.312162280082703"
"FSM","Micronesia",583,"Government Effectiveness: Estimate","GE.EST","..","..","..","..","..","-0.0284502394497395","0.114336714148521","-0.0320445746183395","-0.533373713493347","-0.510628402233124","-0.356269478797913","-0.470069766044617","-0.803482592105865","-0.643289566040039","-0.568482995033264","-0.515850126743317","-0.376106202602386","-0.264031201601028","0.200173407793045","-0.0446043349802494","-0.0898046344518662","0.183574870228767","0.124419935047626"
"MDA","Moldova",498,"Government Effectiveness: Estimate","GE.EST","-0.215465322136879","-0.340585500001907","-0.535638272762299","-0.586018621921539","-0.660864531993866","-0.842749297618866","-0.753627777099609","-0.800863206386566","-0.833722352981567","-0.785365343093872","-0.560340583324432","-0.661308467388153","-0.611933290958405","-0.562788844108582","-0.400530993938446","-0.406121104955673","-0.652528584003448","-0.63114869594574","-0.529130578041077","-0.465657293796539","-0.41209015250206","-0.5140380859375","-0.404990613460541"
"MCO","Monaco",492,"Government Effectiveness: Estimate","GE.EST","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"MNG","Mongolia",496,"Government Effectiveness: Estimate","GE.EST","-0.378730356693268","-0.291684538125992","-0.325786858797073","-0.115116655826569","-0.219482824206352","-0.386485069990158","-0.377561241388321","-0.495436787605286","-0.543998062610626","-0.531455338001251","-0.668986678123474","-0.565998375415802","-0.580542683601379","-0.632912158966064","-0.543920457363129","-0.429426044225693","-0.410802334547043","-0.0768371298909187","-0.254585742950439","-0.220212623476982","-0.191707879304886","-0.368315815925598","-0.467179894447327"
"MNE","Montenegro",499,"Government Effectiveness: Estimate","GE.EST","..","..","..","..","..","..","0.348541498184204","0.157076731324196","-0.294287651777267","-0.0149895250797272","-0.0109644792973995","0.13329441845417","0.0758110135793686","0.117444731295109","0.152013048529625","0.292885899543762","0.196320354938507","0.166023626923561","0.202021449804306","0.118020974099636","0.138532131910324","-0.0708921402692795","0.00613263947889209"
"MAR","Morocco",504,"Government Effectiveness: Estimate","GE.EST","-0.1044110506773","0.0239137783646584","0.0260655991733074","-0.195086255669594","-0.19223515689373","-0.200155571103096","-0.388703554868698","-0.254543036222458","-0.334395855665207","-0.347747772932053","-0.282152444124222","-0.228841036558151","-0.264674335718155","-0.133275002241135","-0.0779731273651123","-0.1302739828825","-0.111680008471012","-0.164237484335899","-0.27918940782547","-0.330775558948517","-0.201040923595428","-0.0887200012803078","-0.0667751729488373"
"MOZ","Mozambique",508,"Government Effectiveness: Estimate","GE.EST","-0.144020169973373","-0.469900131225586","-0.49317455291748","-0.435577213764191","-0.544168829917908","-0.59704065322876","-0.543009221553802","-0.674824237823486","-0.549929261207581","-0.559530138969421","-0.600843906402588","-0.617089927196503","-0.651163041591644","-0.655166208744049","-0.636804580688477","-0.74494856595993","-0.78355872631073","-0.89699649810791","-0.919229388237","-0.922593712806702","-0.87389612197876","-0.775558054447174","-0.765344798564911"
"MMR","Myanmar",104,"Government Effectiveness: Estimate","GE.EST","-1.2075936794281","-1.19072878360748","-1.20650112628937","-1.337557554245","-1.28811955451965","-1.57598578929901","-1.53295505046844","-1.46839642524719","-1.48553204536438","-1.53468811511993","-1.61948978900909","-1.62286841869354","-1.60206520557404","-1.48018658161163","-1.51170814037323","-1.30058372020721","-1.25729238986969","-0.99030613899231","-1.06570398807526","-1.07738935947418","-1.16904890537262","-1.01675057411194","-1.41024351119995"
