"code","iso","country","PEP.raw.1999","PEP.raw.2000","PEP.raw.2001","PEP.raw.2002","PEP.raw.2003","PEP.raw.2004","PEP.raw.2005","PEP.raw.2006","PEP.raw.2007","PEP.raw.2008","PEP.raw.2009","PEP.raw.2010","PEP.raw.2011","PEP.raw.2012","PEP.raw.2013","PEP.raw.2014","PEP.raw.2015","PEP.raw.2016","PEP.raw.2017","PEP.raw.2018","PEP.raw.2019","PEP.raw.2020","PEP.raw.2021","PEP.raw.2022"
578,"NOR","Norway",0.0181987111481497,0.019285688843391,0.0206514192878544,0.0187034586294359,0.0212877968750523,0.0208788186488967,0.0190794112266873,0.0178652040236001,0.0168362167435774,0.0205923247378488,0.0210903230317805,0.0190936420321233,0.0151631232192134,0.0123721905397966,0.0125651060923713,0.0118838621138806,0.0105770093182934,0.00708010219150713,0.00758574943716644,0.0103217807396501,0.0115356897394803,0.0113165662824679,0.011578562948672,0.0100029309161038
512,"OMN","Oman",0.0131307429050468,0.0148440800681909,0.0164770636002057,0.0191241953784927,0.0239720108384199,0.0237192845162028,0.024932654433929,0.0279414185661475,0.030126108081388,0.0284201418435722,0.0261576573466977,0.0265652323185657,0.028207062039228,0.0309090854986717,0.0359344066819845,0.0366154582935823,0.0369570303834875,0.0375284903531316,0.0391857681038588,0.0388536766771967,0.0356700987589197,0.0302081118616527,0.0288803144213902,0.0298892708676782
586,"PAK","Pakistan",0.00136158245702967,0.00141218408997225,0.00138864052867468,0.00142556943275952,0.00147810267051241,0.0015898649069645,0.00167201049373833,0.00183265429793468,0.00197421679412083,0.00204139495645095,0.00208807714167542,0.00202522652813602,0.00194374683471003,0.00182004557806313,0.0017154984604815,0.00166310981379383,0.0017063850710144,0.0019892323331982,0.00239904628675906,0.00272830479275591,0.00295679252080931,0.00319221256243945,0.00348614266798064,0.00332057446284953
585,"PLW","Palau",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0199468701031527,0.0205166458763439,0.0243218098656891,0.025123364146589,0.0171707453499913,0.0142392866286449,0.0114500775572303,0.0113407368671434,0.0149941954145082,0.0146453399717106,0.0188305129308545,0.0213555261404263,0.0259496231413542,-9999
591,"PAN","Panama",0.00348417092951205,0.00332001990173985,0.00386454599799159,0.00374152484093714,0.00374585376149534,0.00347583737469551,0.0035159288961578,0.00372332462049781,0.00348043808699293,0.00369811821887258,0.00414555087916477,0.00448765754185914,0.00546448000048264,0.0056227047490593,0.00635981913931246,0.00601521377610516,0.00574969494879796,0.00534165551313098,0.00536993491320047,0.00477960101566471,0.00487863721737031,0.00391941725712613,0.00417380436160339,0.00427344850238858
598,"PNG","Papua New Guinea",0.00118835403819457,0.00131781561481873,0.0013263473631042,0.00141528614527693,0.00143836230527043,0.00153390876489842,0.00166219534468891,0.00172032229667987,0.00179602362014588,0.00203248697519684,0.00160843296163207,0.0012130414503064,0.000936371298105204,0.000659356037277267,0.000470846766455145,0.000791053804316453,0.00116456070390892,0.00150157930871849,0.00182729286639995,0.00212745231391007,0.0022588745192061,0.00240722766333098,0.00254653901346348,0.00225614776921858
600,"PRY","Paraguay",0.00581105805811884,0.00514832012092253,0.00489221341107964,0.00416616609710703,0.00440236691265861,0.0038902045230557,0.00423550999774484,0.00446063808949577,0.00537893592881053,0.00560439133544182,0.00623096238073438,0.00676990304968515,0.00741782073907856,0.00785393057096927,0.00860468862059275,0.00901543916779232,0.00889791139881056,0.00884762588676672,0.00945707998628297,0.00820884881811711,0.00761756542077432,0.00727153744081201,0.00714776628157154,0.00726028507475396
604,"PER","Peru",0.00264918158054465,0.00272041982142459,0.00247049168939715,0.00226424855739914,0.00209563575759529,0.00210547191569383,0.00224633534850948,0.00209876377193528,0.00250622548447617,0.00270492586750755,0.00326753195871479,0.00380897272017741,0.00401142251834429,0.0042540705713182,0.00406771673279558,0.00427467226434181,0.00424499358418843,0.00420694558883351,0.00411031206977784,0.0039121204755759,0.00385732270140344,0.00322757069064303,0.00328508184178689,0.00361742986440524
608,"PHL","Philippines",0.00177391841063939,0.00181693149371827,0.00174821278434401,0.00165900373681063,0.00153169025899258,0.00149625484398674,0.0014533956601055,0.00132179418153502,0.00139130038159589,0.00142041194215197,0.00146529043213137,0.00161769714072951,0.00169361810147792,0.00180967627927911,0.00197861585503674,0.00216685049567696,0.00240410283684106,0.00260519551477244,0.00292581757009363,0.00314662130212407,0.00330565289252458,0.00304295396734703,0.00295522714865003,0.00293746746759181
616,"POL","Poland",0.00718109047081563,0.00563216829850918,0.00492727105076642,0.00392910390519298,0.00448333535844967,0.00424141420696478,0.00560347280733583,0.00966786191237287,0.0130659154607392,0.0148052562127718,0.0140364403345408,0.0149901954573949,0.0152315397039898,0.0137452727041115,0.0132231115651186,0.0111173738156372,0.0098048805680941,0.0107301786053283,0.0123729753777835,0.0136763925286854,0.0116729986959204,0.010528370231072,0.0124794659262706,0.011775318259595
620,"PRT","Portugal",0.0148082137013446,0.0159597628092045,0.0157331646188614,0.0169008304548202,0.0155798344637981,0.0142430457403418,0.0142604597505893,0.0109947920601178,0.00828533936839321,0.00582394673814382,0.0048027907585406,0.00284666575858952,0.0008674527666149,0.000168333301367986,0.00176862455382971,0.00394231025003825,0.00646853895506469,0.00672848250087927,0.00763287563920193,0.00720327804267117,0.00730415920210288,0.00542921537662601,0.00359454524840152,0.00269538049672082
