"code","iso","country","BLC.raw.2000","BLC.raw.2001","BLC.raw.2002","BLC.raw.2003","BLC.raw.2004","BLC.raw.2005","BLC.raw.2006","BLC.raw.2007","BLC.raw.2008","BLC.raw.2009","BLC.raw.2010","BLC.raw.2011","BLC.raw.2012","BLC.raw.2013","BLC.raw.2014","BLC.raw.2015","BLC.raw.2016","BLC.raw.2017","BLC.raw.2018","BLC.raw.2019","BLC.raw.2020","BLC.raw.2021","BLC.raw.2022"
64,"BTN","Bhutan",5.40386358006318e-07,5.18376971172039e-07,5.18792169636111e-07,4.99470924030924e-07,4.77953322661263e-07,4.88792379352682e-07,4.9341566174229e-07,4.78533134936809e-07,4.88273237962088e-07,4.91934068143052e-07,5.27929950989772e-07,5.32730634302993e-07,5.35010345318976e-07,5.35886316957785e-07,5.33730734222699e-07,5.26867723327701e-07,5.198040002401e-07,5.1314687224225e-07,5.1597663560208e-07,5.22981070449683e-07,5.07911105578795e-07,5.11955297568261e-07,5.09882919944876e-07
68,"BOL","Bolivia",3.80925111708372e-07,3.83483015126781e-07,3.79511314715763e-07,3.86608581796365e-07,4.00906595362371e-07,4.05609131425156e-07,4.23146910581445e-07,4.3213604389994e-07,4.28499162533794e-07,4.25841959519144e-07,4.35498361089936e-07,4.33397569869277e-07,4.3988146521462e-07,4.50036601613852e-07,4.61222572526588e-07,4.3287346884685e-07,4.23518176337527e-07,4.23817062461541e-07,4.19012174574906e-07,3.89535960148148e-07,3.37950861078681e-07,3.562728940945e-07,3.56150213747465e-07
70,"BIH","Bosnia and Herzegovina",3.43692589719301e-07,3.44179547628202e-07,3.45254941272439e-07,3.89412871793589e-07,4.22165097602275e-07,4.35504615731502e-07,5.14364443935927e-07,5.5486199474086e-07,6.32535899505849e-07,5.78811517571202e-07,6.15199508026123e-07,6.44642596923368e-07,6.38139773344785e-07,6.43832274252926e-07,6.21630165926263e-07,7.16512827022967e-07,8.20994163343217e-07,9.05557310875537e-07,8.54913146926484e-07,8.49566447911629e-07,8.23090764586059e-07,8.21167202923408e-07,7.95634328255013e-07
72,"BWA","Botswana",1.7836389669972e-06,1.8059062712836e-06,1.75572556181154e-06,1.6727925091264e-06,1.60809107049914e-06,1.52023574749826e-06,1.5270983212449e-06,1.66242002543525e-06,1.6470155193677e-06,1.54399467565729e-06,1.49597605752855e-06,1.5042310757071e-06,1.55429562856428e-06,1.61516924081864e-06,1.58610660026505e-06,1.49254397788998e-06,1.3559493602916e-06,1.33227559199722e-06,1.37378446347637e-06,1.28100015641526e-06,1.19124847463351e-06,1.18780120475892e-06,1.15466898577081e-06
76,"BRA","Brazil",7.80812906539055e-07,8.0557901196992e-07,8.41660139837187e-07,8.54496470412088e-07,8.86408828644603e-07,8.84789666231698e-07,9.05478945471757e-07,9.28219603542222e-07,9.52646830644228e-07,9.3456030283043e-07,9.83530859533331e-07,9.4741872232289e-07,9.3672305921212e-07,9.0819587068402e-07,8.84862471736003e-07,8.41087736146968e-07,8.07037162258796e-07,8.04862042003428e-07,7.69429361597175e-07,7.44753448524951e-07,7.51395795722448e-07,7.31247934783925e-07,7.1551147764789e-07
92,"VGB","British Virgin Islands",4.16133567884511e-07,4.1911394341998e-07,3.81959267264187e-07,3.78129132479964e-07,3.66134605364004e-07,3.71598307481154e-07,3.91110097685824e-07,3.97770582741098e-07,4.27388981744725e-07,4.36283892045958e-07,4.55030430138674e-07,3.17454225189087e-07,3.40212867704446e-07,3.39017571101734e-07,3.37024274900598e-07,3.3695347119452e-07,3.32994531629504e-07,3.34366224963733e-07,3.33178457831129e-07,3.34950003170549e-07,3.05134338925226e-07,3.06959242082533e-07,3.10250274092409e-07
96,"BRN","Brunei Darussalam",3.45642980461575e-06,3.41621919856199e-06,3.43444059008064e-06,3.47884145226881e-06,3.48082892355339e-06,3.43420817442439e-06,3.62026911103142e-06,3.66775170218676e-06,3.68949076068544e-06,3.66235935464581e-06,3.73909827822478e-06,3.9581220406115e-06,3.99279647496705e-06,3.80243750809848e-06,3.73977713961443e-06,3.7150248896767e-06,3.45096106150073e-06,3.57301349810824e-06,3.50196131455302e-06,3.3442673132469e-06,3.13207598463845e-06,2.99897250538279e-06,2.96762296574837e-06
100,"BGR","Bulgaria",4.78879461520119e-07,4.81809521076703e-07,5.21549312508422e-07,5.72041973884229e-07,5.73310619731659e-07,5.84283901647043e-07,6.02060380063668e-07,5.54271891854106e-07,5.3860193678087e-07,5.21699139606955e-07,5.36045030945587e-07,5.44679069249262e-07,5.64226486082523e-07,5.09281347075193e-07,5.09272955134846e-07,5.33014109048206e-07,5.19049479034742e-07,5.08471512309411e-07,5.33514685725845e-07,5.31605467632218e-07,5.24320838948676e-07,5.65620153971096e-07,5.76266593702979e-07
854,"BFA","Burkina Faso",1.1725827905622e-06,1.15140282189811e-06,1.1335592776924e-06,1.11947992340136e-06,1.10977174777483e-06,1.11951028202039e-06,1.11655404085854e-06,1.12148918613596e-06,1.1116822046227e-06,1.09921080576363e-06,1.0487145830579e-06,9.91880281601191e-07,9.45369264652316e-07,8.89576021739784e-07,8.4158009223144e-07,7.9888664192114e-07,7.60270372136398e-07,7.24905887862859e-07,6.90115833806378e-07,6.77249969651911e-07,6.67072255939568e-07,6.54876592348246e-07,6.38482822303035e-07
108,"BDI","Burundi",1.25349192431814e-06,1.22760626762424e-06,1.21401398911119e-06,1.20002940291086e-06,1.18921008898276e-06,1.19280256399371e-06,1.18191657344813e-06,1.17319634743728e-06,1.15619445195641e-06,1.12654057948436e-06,1.05948457909605e-06,1.00020048779603e-06,9.4884309329291e-07,8.91020414099701e-07,8.43999657750398e-07,8.07050374675466e-07,7.77551149018114e-07,7.42578875427303e-07,7.03233033772747e-07,6.85419747903607e-07,6.72881104707658e-07,6.61699575631108e-07,6.43767904637783e-07
