"code","iso","country","GHN.raw.1999","GHN.raw.2000","GHN.raw.2001","GHN.raw.2002","GHN.raw.2003","GHN.raw.2004","GHN.raw.2005","GHN.raw.2006","GHN.raw.2007","GHN.raw.2008","GHN.raw.2009","GHN.raw.2010","GHN.raw.2011","GHN.raw.2012","GHN.raw.2013","GHN.raw.2014","GHN.raw.2015","GHN.raw.2016","GHN.raw.2017","GHN.raw.2018","GHN.raw.2019","GHN.raw.2020","GHN.raw.2021","GHN.raw.2022"
108,"BDI","Burundi",2215.45034909091,1979.80050909091,2402.3496,2616.70442424242,2812.75818181818,3124.61896969697,3476.1183030303,4138.35678787879,4959.6376969697,5778.47854545455,5912.74042424243,6414.81987878787,6995.64212121213,6149.33,6611.30054545455,6520.23103030303,6224.82630303031,6775.96363636364,7504.31703030303,7994.41739393939,7913.1409090909,7739.46321212122,7946.5530909091,7751.96478787878
132,"CPV","Cabo Verde",725.14799709091,776.37228509091,805.589021575758,948.502485333332,1095.55131878788,1228.271328,1625.28445842424,1821.89903515152,1913.81117090909,1744.81799272727,1705.47104242424,1636.44944242424,1611.45655757576,1237.75723030303,961.604412121213,687.950993939394,641.890442424243,741.030721212121,861.574436363636,1248.47028484849,1534.12186060606,1781.21776969697,2191.59719393939,2351.3718
116,"KHM","Cambodia",-9999,-9999,-9999,35707.8357430303,37560.9123636364,33114.6530545455,36677.180969697,41760.7921939394,46368.2681212121,51011.8167272727,57952.0459393939,60364.730909091,63821.8603636364,62010.3649696971,59623.3303030303,55718.9106666667,55899.5721212122,59588.9351515152,65181.1527272727,69282.949090909,74836.5127272729,76615.0260606061,80138.4969696971,79773.5351515152
120,"CMR","Cameroon",45820.3824242424,52673.0490909091,51416.9096969697,50229.243030303,52979.4484848485,46301.1666666667,44796.2757575758,40248.8963636364,39886.7593939394,38212.62,39360.4454545455,41758.2860606061,40526.0327272727,38432.1933333333,40558.3715151515,47039.7878787879,60521.9357575758,68383.5212121212,68532.826060606,70093.52,73170.0121212122,69854.7963636364,64612.2836363636,62265.863030303
124,"CAN","Canada",1093411.04848485,1163242.92121212,1126269.28484848,1102083.53939394,1079608.46060606,1041491.01212121,981259.212121213,918117.375757577,926699.13939394,856788.284848485,702746.006060606,673433.351515152,639886.793939394,623237.436363636,650897.218181818,671674.163636364,699828.993939394,670714.787327823,728229.206060606,792277.448484849,762391.703030303,587072.816969697,528891.090909091,523117.521212122
136,"CYM","Cayman Islands",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
140,"CAF","Central African Republic",33430.8698351515,39616.4370666667,31775.3688484849,21853.0397575758,27382.812,20036.1584242424,17700.2671515152,17808.9593939394,19635.7078787879,27283.6096969697,17844.703030303,24610.8781818182,26251.9345454545,14520.26,17710.6940495868,14436.5375206612,14655.0837024793,19107.1072139578,18577.2284848485,23965.3763636364,17218.4679889807,18709.5938769513,21089.9836363637,18260.5557575758
148,"TCD","Chad",32866.6749090909,11615.4924363636,9649.46533333336,5430.59854545454,6455.236,11735.8481212121,17276.4957575757,24138.9373884297,31610.6018181818,36943.1187878788,38731.6006060606,40631.3963636364,46205.3284848485,49241.296969697,51583.3993939394,57140.3969696969,66666.3175757574,76613.2981818181,83835.8666666668,91899.2666666668,96029.0557575758,101554.167878788,107520.700606061,105791.461818182
152,"CHL","Chile",166350.894545455,165018.558787879,151308.006060606,138145.455757576,123858.336969697,120731.097575758,112905.029090909,112113.023030303,139319.715151515,152860.455757576,156960.019393939,155476.413939394,167727.716969697,178795.364242424,174588.43030303,162323.525454545,165160.48969697,168458.025454545,176552.743636364,182197.735151515,177568.924242424,149413.441818182,157163.88,153948.758787879
156,"CHN","China",9972807.2121212,9770190.07272726,9492560.14545455,9866966.37575758,11789401.4545455,14639572.8484848,18521046.9090909,22399803.3333333,25303565.1515152,27167318.6060606,28068210.6666667,29011230,30151314.3030303,29533491.9393939,28807788.6666667,27904487.5151515,25963715.6363636,23741902.6060606,21787791.3939394,20375574.7272727,19187269.3939394,18836742.5454545,20122385.5151515,20491144.1212121
