"code","iso","country","CDP.raw.2000","CDP.raw.2001","CDP.raw.2002","CDP.raw.2003","CDP.raw.2004","CDP.raw.2005","CDP.raw.2006","CDP.raw.2007","CDP.raw.2008","CDP.raw.2009","CDP.raw.2010","CDP.raw.2011","CDP.raw.2012","CDP.raw.2013","CDP.raw.2014","CDP.raw.2015","CDP.raw.2016","CDP.raw.2017","CDP.raw.2018","CDP.raw.2019","CDP.raw.2020","CDP.raw.2021","CDP.raw.2022"
566,"NGA","Nigeria",0.000788320562757159,0.000794213959928294,0.000693907403830398,0.00075186173330054,0.0006934713063842,0.000722284229970396,0.000623226541041871,0.000552554599173589,0.000572727571778969,0.00049317576323601,0.000692294798936276,0.000758046931216648,0.000641277887168438,0.000665869711215764,0.0006855899345073,0.000593585118030573,0.000619783123923895,0.000582747122289538,0.000532289240692294,0.000626339469174493,0.000594363304076422,0.000614397623107618,0.000589177078339705
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",0.00295993336974446,0.00304792799025315,0.0029038163012499,0.00294929278494635,0.00299478781883416,0.00311233040732226,0.00314288492260928,0.00260620510225002,0.002874222670216,0.00217488701436673,0.00202909533526781,0.00146006260096482,0.00150938156931025,0.0010804664665399,0.00121560953561223,0.000974879925917829,0.0010859521461272,0.00202755734011063,0.00185777261795133,0.00204866303768868,0.00192575265825764,0.00197660827828682,0.00195139142277218
807,"MKD","North Macedonia",0.00417874636346273,0.00407294771883579,0.0038777885435381,0.00420855813650567,0.00404705016930556,0.00422010599674498,0.00424006728659738,0.00441065807250977,0.00436587265217905,0.00401650014820838,0.00398320964931041,0.00429312633863143,0.00411724543483788,0.00362843986914932,0.00348417172477873,0.00326367923841334,0.0032105457686165,0.00344763610736456,0.00321351611528138,0.00368218331636726,0.0033554489655402,0.00372325565944096,0.00368785520444369
578,"NOR","Norway",0.00937659973898717,0.00963677438121864,0.00937670980677405,0.00961695387914838,0.00963346407050661,0.00935761992918028,0.00940678789798135,0.00968072177735574,0.00936934012162207,0.00892181498805277,0.00933087515227278,0.00903416212270004,0.00881286373636494,0.00876364249866575,0.00875140542611272,0.00876805662868666,0.00853526369853656,0.00836938939178714,0.00835950719100229,0.00800183848003026,0.00766450257692433,0.0075860895804982,0.0074779274882186
512,"OMN","Oman",0.0101909845264337,0.00943484373519019,0.0111670248299511,0.0141289426284056,0.0117557017923567,0.0125623324794652,0.0156862116238711,0.0172960780934135,0.0177973954899574,0.0164047611630941,0.017748298003118,0.0177692057259864,0.017737836584268,0.017096377811933,0.0164360783912775,0.0160734237189152,0.0149472933450216,0.0152428342290267,0.0143736532889483,0.0128665492197941,0.0144008603636973,0.0156772223253322,0.0157302672810594
586,"PAK","Pakistan",0.000673314524520346,0.000661990852075448,0.000691546819245457,0.000704058757107398,0.000759593256434128,0.000772441889890773,0.00080614775573251,0.00085421260944454,0.000827838790554502,0.000817463864013003,0.000791489312818462,0.00077869464977296,0.000765979717191625,0.00073792930617838,0.000751635634960232,0.000788896300933565,0.000916949520528188,0.00099897759039345,0.000933234205238017,0.000922827756045242,0.000882947539259399,0.000965635661935833,0.000848934703888236
585,"PLW","Palau",0.0105874480381223,0.010902562033488,0.01070535489396,0.0106897384305835,0.0108592957251218,0.0110856739448338,0.01157897956063,0.0130546318289786,0.0107414930373783,0.0105097205991714,0.0112647249190939,0.0118517543859649,0.0124542516438203,0.0127586632968267,0.0123533378287256,0.0115310778914241,0.011928154467894,0.01211952682626,0.0118961038961039,0.0122705961152043,0.0118246160694414,0.0123030023750073,0.0121434134206587
591,"PAN","Panama",0.00190836242640293,0.0022714913673286,0.00186514446183821,0.00191412780523511,0.00176084570437144,0.00210877686968847,0.00223359848315143,0.00214174047745185,0.00209843093646062,0.00237703786780286,0.0025036030703926,0.00269824065066988,0.00260145383727832,0.00275104776806288,0.00279146012345319,0.00272635085594374,0.00259264761052289,0.00273998614848309,0.00258231063367707,0.00316141123602416,0.00240414374072261,0.00269061437377373,0.00269925872777622
598,"PNG","Papua New Guinea",0.000533358469959045,0.000585413219539425,0.000621532932513955,0.000666084495434232,0.000745955143086963,0.00076631853176993,0.000752948853622354,0.000950878163566131,0.000776771032957747,0.000715410075160793,0.000621726152138346,0.000678707174432932,0.000631480314881149,0.000658487008165995,0.000786828138029321,0.000764619891531438,0.000790545461445707,0.000730697137123282,0.0008153790718609,0.000819192589427204,0.00079221919024894,0.0007986589974903,0.000771313624611764
600,"PRY","Paraguay",0.000703797694649245,0.000709100628777552,0.000729642531786554,0.000753091110565648,0.000749827189067716,0.000690154317843122,0.000706218883674288,0.000722979815371514,0.000757810778388804,0.000794641156782884,0.000870537337138062,0.000889591934481181,0.000873375753172146,0.000861213237130621,0.000896154987233858,0.000978906679614924,0.00114788514054599,0.00124814714857239,0.00130375806771658,0.00124604747859081,0.00111294870061243,0.00138196615020839,0.00132994979877499
604,"PER","Peru",0.00107590059665325,0.000940807625049228,0.000930670245886358,0.000893288343716113,0.0010157820311429,0.0010772309258124,0.000993523848219092,0.00119949316056544,0.00122538373394309,0.00136201863768239,0.00145418143734708,0.0014306760693627,0.00152972465654093,0.0014322765990491,0.00162708139162768,0.00160289464221749,0.00169380144918669,0.00173574147843742,0.0017342052781783,0.00177807433969838,0.00141016480703089,0.00167490222938694,0.00178918797085345
